[2025-07-19 21:30:12] 8.8.8.8  30.00 ms  (min: 24.00  max: 30.00  avg: 26.38)
[2025-07-19 21:30:12] 1.1.1.1  24.00 ms  (min: 22.00  max: 29.00  avg: 24.81)
[2025-07-19 21:30:12] example.com  188.00 ms  (min: 181.00  max: 188.00  avg: 184.64)
[2025-07-19 21:30:14] 8.8.8.8  26.00 ms  (min: 24.00  max: 30.00  avg: 26.36)
[2025-07-19 21:30:14] 1.1.1.1  27.00 ms  (min: 22.00  max: 29.00  avg: 24.91)
[2025-07-19 21:30:14] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.60)
[2025-07-19 21:30:16] 8.8.8.8  24.00 ms  (min: 24.00  max: 30.00  avg: 26.26)
[2025-07-19 21:30:16] 1.1.1.1  23.00 ms  (min: 22.00  max: 29.00  avg: 24.83)
[2025-07-19 21:30:16] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 184.50)
[2025-07-19 21:30:18] 8.8.8.8  29.00 ms  (min: 24.00  max: 30.00  avg: 26.38)
[2025-07-19 21:30:18] 1.1.1.1  40.00 ms  (min: 22.00  max: 40.00  avg: 25.46)
[2025-07-19 21:30:18] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 184.41)
[2025-07-19 21:30:21] 8.8.8.8  29.00 ms  (min: 24.00  max: 30.00  avg: 26.48)
[2025-07-19 21:30:21] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 25.40)
[2025-07-19 21:30:21] example.com  186.00 ms  (min: 181.00  max: 188.00  avg: 184.50)
[2025-07-19 21:30:23] 8.8.8.8  26.00 ms  (min: 24.00  max: 30.00  avg: 26.46)
[2025-07-19 21:30:23] 1.1.1.1  25.00 ms  (min: 22.00  max: 40.00  avg: 25.38)
[2025-07-19 21:30:23] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 184.42)
[2025-07-19 21:30:25] 8.8.8.8  25.00 ms  (min: 24.00  max: 30.00  avg: 26.41)
[2025-07-19 21:30:25] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 25.33)
[2025-07-19 21:30:25] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 184.30)
[2025-07-19 21:30:28] 8.8.8.8  26.00 ms  (min: 24.00  max: 30.00  avg: 26.39)
[2025-07-19 21:30:28] 1.1.1.1  25.00 ms  (min: 22.00  max: 40.00  avg: 25.32)
[2025-07-19 21:30:28] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.29)
[2025-07-19 21:30:30] 8.8.8.8  27.00 ms  (min: 24.00  max: 30.00  avg: 26.41)
[2025-07-19 21:30:30] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 25.28)
[2025-07-19 21:30:30] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 184.23)
[2025-07-19 21:30:32] 8.8.8.8  24.00 ms  (min: 24.00  max: 30.00  avg: 26.33)
[2025-07-19 21:30:32] 1.1.1.1  22.00 ms  (min: 22.00  max: 40.00  avg: 25.17)
[2025-07-19 21:30:32] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 184.13)
[2025-07-19 21:30:34] 8.8.8.8  26.00 ms  (min: 24.00  max: 30.00  avg: 26.32)
[2025-07-19 21:30:34] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 25.10)
[2025-07-19 21:30:34] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.12)
[2025-07-19 21:30:37] 8.8.8.8  26.00 ms  (min: 24.00  max: 30.00  avg: 26.31)
[2025-07-19 21:30:37] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 25.06)
[2025-07-19 21:30:37] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.12)
[2025-07-19 21:30:39] 8.8.8.8  27.00 ms  (min: 24.00  max: 30.00  avg: 26.33)
[2025-07-19 21:30:39] 1.1.1.1  26.00 ms  (min: 22.00  max: 40.00  avg: 25.09)
[2025-07-19 21:30:39] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.12)
[2025-07-19 21:30:41] 8.8.8.8  24.00 ms  (min: 24.00  max: 30.00  avg: 26.26)
[2025-07-19 21:30:41] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 25.03)
[2025-07-19 21:30:41] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 184.07)
[2025-07-19 21:30:44] 8.8.8.8  26.00 ms  (min: 24.00  max: 30.00  avg: 26.26)
[2025-07-19 21:30:44] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.97)
[2025-07-19 21:30:44] example.com  185.00 ms  (min: 181.00  max: 188.00  avg: 184.11)
[2025-07-19 21:30:46] 8.8.8.8  28.00 ms  (min: 24.00  max: 30.00  avg: 26.31)
[2025-07-19 21:30:46] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.94)
[2025-07-19 21:30:46] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 184.03)
[2025-07-19 21:30:48] 8.8.8.8  31.00 ms  (min: 24.00  max: 31.00  avg: 26.43)
[2025-07-19 21:30:48] 1.1.1.1  31.00 ms  (min: 22.00  max: 40.00  avg: 25.11)
[2025-07-19 21:30:48] example.com  185.00 ms  (min: 181.00  max: 188.00  avg: 184.07)
[2025-07-19 21:30:50] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.39)
[2025-07-19 21:30:50] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 25.08)
[2025-07-19 21:30:50] example.com  185.00 ms  (min: 181.00  max: 188.00  avg: 184.10)
[2025-07-19 21:30:53] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.41)
[2025-07-19 21:30:53] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 25.03)
[2025-07-19 21:30:53] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 184.06)
[2025-07-19 21:30:55] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.42)
[2025-07-19 21:30:55] 1.1.1.1  26.00 ms  (min: 22.00  max: 40.00  avg: 25.05)
[2025-07-19 21:30:55] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 184.00)
[2025-07-19 21:30:57] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.44)
[2025-07-19 21:30:57] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 25.02)
[2025-07-19 21:30:57] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 183.94)
[2025-07-19 21:31:00] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.40)
[2025-07-19 21:31:00] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 25.00)
[2025-07-19 21:31:00] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 183.94)
[2025-07-19 21:31:02] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.37)
[2025-07-19 21:31:02] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.98)
[2025-07-19 21:31:02] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.92)
[2025-07-19 21:31:04] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.36)
[2025-07-19 21:31:04] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.93)
[2025-07-19 21:31:04] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 183.92)
[2025-07-19 21:31:06] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.38)
[2025-07-19 21:31:06] 1.1.1.1  26.00 ms  (min: 22.00  max: 40.00  avg: 24.96)
[2025-07-19 21:31:06] example.com  186.00 ms  (min: 181.00  max: 188.00  avg: 183.97)
[2025-07-19 21:31:09] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.35)
[2025-07-19 21:31:09] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.91)
[2025-07-19 21:31:09] example.com  185.00 ms  (min: 181.00  max: 188.00  avg: 184.00)
[2025-07-19 21:31:11] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.34)
[2025-07-19 21:31:11] 1.1.1.1  25.00 ms  (min: 22.00  max: 40.00  avg: 24.91)
[2025-07-19 21:31:11] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.00)
[2025-07-19 21:31:13] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.33)
[2025-07-19 21:31:13] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.88)
[2025-07-19 21:31:13] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.98)
[2025-07-19 21:31:15] 8.8.8.8  29.00 ms  (min: 24.00  max: 31.00  avg: 26.39)
[2025-07-19 21:31:15] 1.1.1.1  25.00 ms  (min: 22.00  max: 40.00  avg: 24.88)
[2025-07-19 21:31:15] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.95)
[2025-07-19 21:31:18] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.36)
[2025-07-19 21:31:18] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.86)
[2025-07-19 21:31:18] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.93)
[2025-07-19 21:31:20] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.33)
[2025-07-19 21:31:20] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.82)
[2025-07-19 21:31:20] example.com  186.00 ms  (min: 181.00  max: 188.00  avg: 183.98)
[2025-07-19 21:31:22] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.33)
[2025-07-19 21:31:22] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.79)
[2025-07-19 21:31:22] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.96)
[2025-07-19 21:31:25] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.30)
[2025-07-19 21:31:25] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.77)
[2025-07-19 21:31:25] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.93)
[2025-07-19 21:31:27] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.30)
[2025-07-19 21:31:27] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.74)
[2025-07-19 21:31:27] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.91)
[2025-07-19 21:31:29] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.31)
[2025-07-19 21:31:29] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.73)
[2025-07-19 21:31:29] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 183.92)
[2025-07-19 21:31:31] 8.8.8.8  28.00 ms  (min: 24.00  max: 31.00  avg: 26.34)
[2025-07-19 21:31:31] 1.1.1.1  23.00 ms  (min: 22.00  max: 40.00  avg: 24.70)
[2025-07-19 21:31:31] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 183.92)
[2025-07-19 21:31:34] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.35)
[2025-07-19 21:31:34] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.68)
[2025-07-19 21:31:34] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.90)
[2025-07-19 21:31:36] 8.8.8.8  24.00 ms  (min: 24.00  max: 31.00  avg: 26.31)
[2025-07-19 21:31:36] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.67)
[2025-07-19 21:31:36] example.com  187.00 ms  (min: 181.00  max: 188.00  avg: 183.96)
[2025-07-19 21:31:38] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.29)
[2025-07-19 21:31:38] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.66)
[2025-07-19 21:31:38] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 183.96)
[2025-07-19 21:31:41] 8.8.8.8  29.00 ms  (min: 24.00  max: 31.00  avg: 26.33)
[2025-07-19 21:31:41] 1.1.1.1  25.00 ms  (min: 22.00  max: 40.00  avg: 24.67)
[2025-07-19 21:31:41] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 183.96)
[2025-07-19 21:31:43] 8.8.8.8  28.00 ms  (min: 24.00  max: 31.00  avg: 26.36)
[2025-07-19 21:31:43] 1.1.1.1  25.00 ms  (min: 22.00  max: 40.00  avg: 24.67)
[2025-07-19 21:31:43] example.com  188.00 ms  (min: 181.00  max: 188.00  avg: 184.04)
[2025-07-19 21:31:45] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.35)
[2025-07-19 21:31:45] 1.1.1.1  24.00 ms  (min: 22.00  max: 40.00  avg: 24.66)
[2025-07-19 21:31:45] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.04)
[2025-07-19 21:31:47] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.33)
[2025-07-19 21:31:47] 1.1.1.1  58.00 ms  (min: 22.00  max: 58.00  avg: 25.19)
[2025-07-19 21:31:47] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 184.04)
[2025-07-19 21:31:50] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.34)
[2025-07-19 21:31:50] 1.1.1.1  24.00 ms  (min: 22.00  max: 58.00  avg: 25.17)
[2025-07-19 21:31:50] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 184.02)
[2025-07-19 21:31:52] 8.8.8.8  24.00 ms  (min: 24.00  max: 31.00  avg: 26.31)
[2025-07-19 21:31:52] 1.1.1.1  26.00 ms  (min: 22.00  max: 58.00  avg: 25.18)
